Specie,Group,Assembly,Query,ProteinLength,IsoelectricPoint,MolecularWeight,Localizations,Orthogroup,Domains,Orthogroup_
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060532721.1,391,4.1387,43532.64,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060533678.1,467,7.7258,52910.44,Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044731929.1,816,5.4366,92634.82,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044734568.1,2809,6.896,319282.83,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044737014.1,509,4.4881,56075.55,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060530054.1,2186,6.3662,248690.37,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044737016.1,485,4.477,53759.58,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044737101.1,560,4.99,63734.59,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044738276.1,448,5.9346,50366.06,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035782227.1,2395,6.7536,269090.77,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044740799.1,451,5.891,52088.62,Cytoplasm,OG0000000,['Glyco_hydro_18'],0
Pieris rapae,Lepidoptera,GCF_905147795.1,XP_022118209.2,542,5.012,60680.08,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035780981.1,981,5.3087,111272.44,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035780970.1,880,6.7127,99366.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Pieris rapae,Lepidoptera,GCF_905147795.1,XP_022129999.2,451,7.4447,51572.86,Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Pieris rapae,Lepidoptera,GCF_905147795.1,XP_045484838.1,2891,6.3869,323061.95,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Chrysoperla carnea,Neuroptera,GCF_905475395.1,XP_044737080.1,2809,5.2788,313411.16,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Zootermopsis nevadensis,Blattodea,GCF_000696155.1,XP_021928315.1,531,4.8284,57691.54,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060527177.1,538,5.7795,60640.46,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060523396.1,287,4.2029,31624.94,Extracellular,OG0000000,['Glyco_hydro_18'],0
Zootermopsis nevadensis,Blattodea,GCF_000696155.1,XP_021933573.1,438,6.4303,48763.17,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Zootermopsis nevadensis,Blattodea,GCF_000696155.1,XP_021934682.1,648,5.3144,73432.33,Cell membrane|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Zootermopsis nevadensis,Blattodea,GCF_000696155.1,XP_021935181.1,484,6.8713,54410.8,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050469567.1,2688,6.6213,302381.74,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050469790.1,3078,5.2685,345665.05,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035785811.1,368,7.1477,41088.19,Cytoplasm|Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050487087.1,470,7.9835,53737.38,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050487722.1,485,7.2018,54322.54,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050487748.1,472,8.222,54245.44,Extracellular,OG0000000,['Glyco_hydro_18'],0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060526893.1,381,4.206,42182.56,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050489043.1,447,5.1623,50490.47,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050489451.1,543,5.93,61833.43,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050489460.1,543,5.93,61833.43,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035784810.1,997,6.2427,111923.04,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050489967.1,405,5.0037,45328.6,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060519176.1,1774,5.7522,197110.86,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060520817.1,269,7.3176,31679.04,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035784809.1,997,6.2427,111923.04,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Cylas formicarius,Coleoptera,GCF_029955315.1,XP_060521782.1,996,7.4434,112804.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles albimanus,Diptera,GCF_013758885.1,XP_035782762.1,403,5.0099,46150.12,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus huntii,Hymenoptera,GCF_024542735.1,XP_050489113.1,969,5.5787,109922.56,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Schistocerca gregaria,Orthoptera,GCF_023897955.1,XP_049844280.1,468,8.3326,52820.65,Cell membrane|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Procambarus clarkii,Decapoda,GCF_020424385.1,XP_045625648.1,994,4.2135,109386.06,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14']",0
Schistocerca gregaria,Orthoptera,GCF_023897955.1,XP_049845623.1,433,5.92,47855.46,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014276735.1,520,4.8396,59119.86,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014276743.1,520,4.8396,59119.86,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014279987.1,473,6.1767,54252.61,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014282954.1,563,5.186,63385.79,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014289753.1,414,7.4506,46730.17,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014294774.1,980,6.5148,110346.74,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_024216979.1,1903,7.2669,213769.83,Extracellular,OG0000000,"['CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_024218316.1,1120,8.2319,126107.07,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_024218379.1,432,4.6505,48452.26,Extracellular,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037776380.1,589,5.5447,65021.98,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_024219794.1,490,9.2741,56203.53,Extracellular,OG0000000,['Glyco_hydro_18'],0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037930954.1,494,6.1387,55834.57,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037935216.1,1008,6.2988,113170.21,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037938102.1,1731,6.4636,192501.09,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037938792.1,429,6.9406,49683.76,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037940573.1,5983,4.8398,669831.88,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037941210.1,1164,4.5812,127103.12,Lysosome/Vacuole,OG0000000,"['Glyco_hydro_18', 'MFS_1', 'Glyco_hydro_18', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014276726.1,520,4.8396,59119.86,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014275744.1,417,6.9948,47111.74,Extracellular,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014275730.1,436,5.6619,48415.26,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014273392.1,462,7.1601,52368.79,Extracellular|Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_002039700.1,368,4.5195,40703.37,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032570021.1,2300,6.6045,260449.82,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032571732.1,476,4.7921,52688.21,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032571735.1,381,7.3991,44139.5,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032571736.1,381,4.2466,40929.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032575882.1,1013,6.2387,113358.35,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_032580801.1,4580,4.9964,502436.95,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038207436.1,554,5.6776,62076.78,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037943409.1,358,6.4888,40282.96,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037776494.1,581,5.9268,64207.99,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038214987.1,438,6.6337,50616.67,Lysosome/Vacuole|Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038215409.1,2886,6.2075,319034.79,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038217688.1,512,5.9635,57691.99,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038217897.1,491,5.8332,54572.57,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038220780.1,2435,4.8337,272850.94,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca gregaria,Orthoptera,GCF_023897955.1,XP_049844283.1,396,8.3539,44433.18,Cell membrane,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037776492.1,605,4.8816,68100.04,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Halyomorpha halys,Hemiptera,GCF_000696795.2,XP_014273391.1,462,7.1601,52368.79,Extracellular|Cell membrane,OG0000000,['Glyco_hydro_18'],0
Zerene cesonia,Lepidoptera,GCF_012273895.1,XP_038211912.1,987,6.6506,111404.91,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037943410.1,773,6.0723,87761.87,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037944233.1,443,4.6105,49056.88,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037944920.1,489,5.4882,55438.61,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055596523.1,3470,5.8331,382701.49,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055596596.1,3063,6.6554,338064.93,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Vespula pensylvanica,Hymenoptera,GCF_014466175.1,XP_043678736.1,539,7.7541,61014.37,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055600306.1,2370,6.5408,269051.68,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055600421.1,565,6.8556,64422.04,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055601031.1,537,8.8589,59023.08,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055601032.1,519,7.6815,57153.7,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055604600.1,388,5.1319,43235.41,Extracellular,OG0000000,['Glyco_hydro_18'],0
Vespula pensylvanica,Hymenoptera,GCF_014466175.1,XP_043679230.1,970,6.0674,110063.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607300.1,424,6.8958,47517.82,Extracellular,OG0000000,['Glyco_hydro_18'],0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607913.1,1012,6.4134,113430.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607914.1,1012,6.4134,113430.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607915.1,1012,6.4134,113430.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607916.1,1012,6.4134,113430.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055608633.1,411,6.1831,46640.43,Extracellular,OG0000000,['Glyco_hydro_18'],0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055608660.1,482,5.1245,53733.62,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055608698.1,577,4.7625,64888.02,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055608797.1,474,4.6555,53317.36,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055607912.1,1012,6.4134,113430.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_002039698.1,470,7.0772,54433.49,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Vespula pensylvanica,Hymenoptera,GCF_014466175.1,XP_043684885.1,477,7.9373,52901.97,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_033253894.1,335,4.4107,37546.46,Cytoplasm|Extracellular,OG0000000,['Glyco_hydro_18'],0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037944921.1,151,5.1391,17224.52,Extracellular,OG0000000,['Glyco_hydro_18'],0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037951349.1,489,5.4882,55438.61,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037954165.1,576,6.2524,65814.33,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Teleopsis dalmanni,Diptera,GCF_002237135.1,XP_037958562.1,2443,6.7853,275111.44,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037776084.1,663,7.1284,73821.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017139015.1,1014,6.2731,113033.01,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017139632.1,456,6.5546,51476.63,Cell membrane|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017141634.1,591,6.9663,67114.2,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_033254422.1,157,4.6596,17933.21,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017147078.1,478,4.7878,53233.69,Extracellular|Lysosome/Vacuole,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017147080.1,464,4.2561,50572.48,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017147081.1,460,6.801,52777.54,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017150763.1,368,4.4407,40822.38,Extracellular,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037775785.1,413,4.2822,46469.6,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017154888.1,2469,6.4072,275075.01,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017155890.1,2764,6.1465,300999.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_033242347.1,507,6.5033,56580.03,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila miranda,Diptera,GCF_003369915.1,XP_033248056.1,469,6.7009,54498.61,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila miranda,Diptera,GCF_003369915.1,XP_017147079.2,469,6.1886,54515.51,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Uranotaenia lowii,Diptera,GCF_029784155.1,XP_055609283.1,509,4.5945,56276.11,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_002036710.2,428,6.5637,48410.35,Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Drosophila sechellia,Diptera,GCF_004382195.2,XP_002034975.2,480,5.2142,53616.78,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_029039146.1,425,7.4362,48471.23,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_029040274.1,521,5.3845,59266.75,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_029041819.1,967,5.6588,109957.68,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_029042816.1,470,7.677,54025.78,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037779754.1,623,4.2913,68138.18,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_029053037.1,465,7.5181,51047.79,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_046143500.1,868,4.9697,98510.41,Cytoplasm|Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_046143740.1,2027,5.1714,227301.93,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Osmia bicornis bicornis,Hymenoptera,GCF_907164935.1,XP_046143836.1,2706,6.0701,304689.2,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049765379.1,560,7.5246,62101.17,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049765671.1,510,4.9243,56899.03,Extracellular,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037779750.1,494,4.4901,54804.83,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049774274.1,383,4.3562,41114.95,Extracellular,OG0000000,['Glyco_hydro_18'],0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049775391.1,996,7.2081,111531.27,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037779749.1,487,4.6254,53891.64,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049779743.1,2896,6.2645,324948.15,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Schistocerca cancellata,Orthoptera,GCF_023864275.1,XP_049783682.1,474,8.1008,53634.55,Cell membrane|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037779755.1,574,4.3599,63474.2,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Apis cerana,Hymenoptera,GCF_029169275.1,XP_061940634.1,449,6.6351,51179.15,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Penaeus monodon,Decapoda,GCF_015228065.2,XP_037779756.1,600,4.3217,65568.07,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Apis cerana,Hymenoptera,GCF_029169275.1,XP_061932549.1,4369,7.9881,486799.9,Extracellular,OG0000000,"['PH', 'Glyco_hydro_18', 'CBM_14']",0
Lutzomyia longipalpis,Diptera,GCF_024334085.1,XP_055681033.1,500,6.6152,57158.54,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
